index,mmd_score,std
1000,7.9989256858825675,1.1082746025892407e-05
2000,7.999021339416504,3.0540815089814554e-05
3000,7.998972749710082,1.4477407494448919e-05
4000,7.998613166809082,1.1699916562259896e-05
5000,7.998570013046264,2.8199949576656153e-05
6000,7.998773622512817,2.305787482731561e-05
7000,7.998659086227418,2.2039421705494503e-05
8000,7.998765277862549,2.4827789452015656e-05
9000,7.998650979995728,1.857640313632967e-05
10000,7.998800992965697,2.232010509786846e-05
11000,7.998711061477661,1.7218311812534814e-05
12000,7.998719263076782,2.281998367946129e-05
13000,7.998687696456909,2.3162165560921803e-05
14000,7.998669528961183,1.8858653403180352e-05
15000,7.9986129760742175,1.6139088810733675e-05
16000,7.998754692077638,2.072591234648964e-05
17000,7.998729658126831,2.616915167388344e-05
18000,7.998818731307982,2.298043455466421e-05
19000,7.998625183105469,4.060726873482616e-05
20000,7.9985991477966305,2.5711031271355786e-05
21000,7.998527336120605,2.445314676330287e-05
22000,7.998632287979126,2.6215681282992964e-05
23000,7.998644495010376,3.038994354473325e-05
24000,7.998616886138916,4.036375142337432e-05
25000,7.9985402107238786,3.283064522695396e-05
26000,7.998584747314452,2.894130518131099e-05
27000,7.998836278915405,1.938945599189446e-05
28000,7.998670291900635,1.928828407887115e-05
29000,7.998707389831543,2.2511360529316252e-05
30000,7.998589897155763,2.787095853818523e-05
31000,7.998661756515503,3.308043823556392e-05
32000,7.998629283905027,2.525634977655047e-05
33000,7.998693132400513,2.215220395532548e-05
34000,7.998629999160768,2.261882475678305e-05
35000,7.998762845993043,3.4089188156056794e-05
36000,7.998730134963987,1.614704678552706e-05
37000,7.99858922958374,2.4037701200059853e-05
2000,11.546981811523438,3.219086976673798
